w.length,TL01,TL12
356.5,3.11E+01,2.18E+01
357,3.10E+01,2.12E+01
357.5,3.08E+01,2.04E+01
358,3.05E+01,1.99E+01
358.5,3.05E+01,1.92E+01
359,3.03E+01,1.86E+01
359.5,3.02E+01,1.79E+01
360,2.99E+01,1.73E+01
360.5,2.97E+01,1.67E+01
361,2.95E+01,1.63E+01
361.5,2.95E+01,1.59E+01
362,2.95E+01,1.56E+01
362.5,2.93E+01,1.50E+01
363,2.91E+01,1.46E+01
363.5,2.92E+01,1.42E+01
364,2.94E+01,1.40E+01
364.5,7.73E+01,3.13E+01
365,2.54E+02,9.34E+01
365.5,3.20E+02,1.07E+02
366,1.30E+02,3.91E+01
366.5,1.18E+02,3.48E+01
367,4.93E+01,1.66E+01
367.5,2.79E+01,1.13E+01
368,2.76E+01,1.08E+01
368.5,2.74E+01,1.05E+01
369,2.74E+01,1.02E+01
369.5,2.72E+01,9.88E+00
370,2.73E+01,9.59E+00
370.5,2.73E+01,9.37E+00
371,2.69E+01,9.03E+00
371.5,2.65E+01,8.72E+00
372,2.64E+01,8.38E+00
372.5,2.64E+01,8.13E+00
373,2.63E+01,7.80E+00
373.5,2.60E+01,7.54E+00
374,2.60E+01,7.38E+00
374.5,2.58E+01,7.04E+00
375,2.57E+01,6.89E+00
375.5,2.56E+01,6.60E+00
376,2.54E+01,6.37E+00
376.5,2.53E+01,6.12E+00
377,2.50E+01,5.91E+00
377.5,2.51E+01,5.76E+00
378,2.49E+01,5.63E+00
378.5,2.49E+01,5.40E+00
379,2.46E+01,5.26E+00
379.5,2.45E+01,5.14E+00
380,2.45E+01,5.04E+00
380.5,2.44E+01,4.94E+00
381,2.44E+01,4.76E+00
381.5,2.41E+01,4.62E+00
382,2.38E+01,4.45E+00
382.5,2.37E+01,4.37E+00
383,2.37E+01,4.26E+00
383.5,2.35E+01,4.11E+00
384,2.34E+01,4.02E+00
384.5,2.34E+01,3.95E+00
385,2.30E+01,3.82E+00
385.5,2.32E+01,3.80E+00
386,2.28E+01,3.70E+00
386.5,2.30E+01,3.65E+00
387,2.27E+01,3.63E+00
387.5,2.27E+01,3.53E+00
388,2.26E+01,3.49E+00
388.5,2.26E+01,3.44E+00
389,2.24E+01,3.48E+00
389.5,2.24E+01,3.43E+00
390,2.24E+01,3.52E+00
390.5,2.31E+01,3.90E+00
391,2.30E+01,3.86E+00
391.5,2.18E+01,3.36E+00
392,2.18E+01,3.36E+00
392.5,2.17E+01,3.36E+00
393,2.15E+01,3.36E+00
393.5,2.15E+01,3.36E+00
394,2.13E+01,3.36E+00
394.5,2.12E+01,3.36E+00
395,2.12E+01,3.39E+00
395.5,2.11E+01,3.42E+00
396,2.09E+01,3.43E+00
396.5,2.08E+01,3.50E+00
397,2.06E+01,3.52E+00
397.5,2.06E+01,3.53E+00
398,2.06E+01,3.59E+00
398.5,2.08E+01,3.67E+00
399,2.04E+01,3.70E+00
399.5,2.03E+01,3.74E+00
400,2.02E+01,3.83E+00
