Wavelength,W.m2
Wavelength(nm),W/m2
661,8.23462E-4
662,8.12074E-4
663,8.00122E-4
664,8.12422E-4
665,7.99883E-4
666,7.83576E-4
667,7.94577E-4
668,8.31888E-4
669,8.15059E-4
670,8.00175E-4
671,8.15302E-4
672,8.23639E-4
673,7.55476E-4
674,7.39393E-4
675,7.51568E-4
676,7.31346E-4
677,7.12829E-4
678,6.93622E-4
679,7.35071E-4
680,6.5327E-4
681,6.90733E-4
682,0
683,6.80639E-4
684,6.9169E-4
685,6.65112E-4
686,7.12382E-4
687,8.96827E-4
688,0.0013
689,0.00139
690,0.00159
691,0.00191
692,0.00141
693,8.70117E-4
694,8.05809E-4
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0.00153
731,0.00148
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
--,--
--,--
--,--
--,--
