Wavelength.,W.m2
Wavelength(nm),W/m2
659,6.8628E-4
660,6.95429E-4
661,7.05825E-4
662,7.16536E-4
663,7.03138E-4
664,6.89328E-4
665,6.74901E-4
666,7.07746E-4
667,7.17683E-4
668,7.01905E-4
669,7.0989E-4
670,6.93485E-4
671,7.33772E-4
672,7.41275E-4
673,6.71534E-4
674,6.54079E-4
675,6.64849E-4
676,6.43585E-4
677,6.23725E-4
678,0
679,6.12559E-4
680,6.22162E-4
681,6.27939E-4
682,0
683,0
684,0
685,0
686,0
687,8.2784E-4
688,0.00123
689,0.00132
690,0.00159
691,0.00187
692,0.00138
693,8.70117E-4
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0.00139
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
--,--
--,--
--,--
--,--
